product_id,quality,defects,detection_time,image_data
1,良品,,2024-12-16 16:46:05,images/product_1.png
2,良品,,2024-12-16 21:39:12,images/product_2.png
3,良品,,2024-12-16 16:17:35,images/product_3.png
4,良品,,2024-12-16 09:10:57,images/product_4.png
5,良品,,2024-12-16 13:12:45,images/product_5.png
6,良品,,2024-12-16 18:55:57,images/product_6.png
7,良品,,2024-12-16 12:37:59,images/product_7.png
8,良品,,2024-12-16 23:46:38,images/product_8.png
9,劣質品,顏色汙染,2024-12-16 23:14:35,images/product_9.png
10,劣質品,大範圍污痕,2024-12-16 04:56:54,images/product_10.png
11,劣質品,划痕,2024-12-16 06:37:04,images/product_11.png
12,良品,,2024-12-16 11:23:33,images/product_12.png
13,良品,,2024-12-16 20:28:54,images/product_13.png
14,劣質品,"划痕, 大範圍污痕",2024-12-16 00:26:24,images/product_14.png
15,劣質品,"裁切, 顏色汙染",2024-12-16 01:05:25,images/product_15.png
16,劣質品,汙點,2024-12-16 18:23:52,images/product_16.png
17,劣質品,大範圍污痕,2024-12-16 20:39:52,images/product_17.png
18,良品,,2024-12-16 21:38:13,images/product_18.png
19,良品,,2024-12-16 20:27:55,images/product_19.png
20,劣質品,大範圍污痕,2024-12-16 02:11:24,images/product_20.png
21,劣質品,划痕,2024-12-16 04:56:57,images/product_21.png
22,良品,,2024-12-16 05:37:49,images/product_22.png
23,良品,,2024-12-16 08:55:35,images/product_23.png
24,劣質品,汙點,2024-12-16 18:49:20,images/product_24.png
25,劣質品,大範圍污痕,2024-12-16 03:59:50,images/product_25.png
26,劣質品,顏色汙染,2024-12-16 03:35:23,images/product_26.png
27,劣質品,大範圍污痕,2024-12-16 05:14:01,images/product_27.png
28,良品,,2024-12-16 15:36:10,images/product_28.png
29,良品,,2024-12-16 06:12:15,images/product_29.png
30,劣質品,裁切,2024-12-16 07:35:58,images/product_30.png
31,良品,,2024-12-16 01:21:32,images/product_31.png
32,良品,,2024-12-16 02:25:45,images/product_32.png
33,良品,,2024-12-16 23:46:31,images/product_33.png
34,良品,,2024-12-16 03:29:32,images/product_34.png
35,劣質品,大範圍污痕,2024-12-16 11:11:13,images/product_35.png
36,劣質品,"裁切, 顏色汙染",2024-12-16 16:49:50,images/product_36.png
37,劣質品,"裁切, 顏色汙染",2024-12-16 01:35:42,images/product_37.png
38,劣質品,汙點,2024-12-16 15:06:41,images/product_38.png
39,良品,,2024-12-16 08:05:20,images/product_39.png
40,良品,,2024-12-16 20:49:16,images/product_40.png
